radic		根
ampl		大
rap		抓
voy		道路
bon		好
fabl		说
diplo		双
obes		肥
bid		请求
glor		荣誉
judg		判断
liqu		液体
geo		地球
sens，sent	感觉
sent		存在
frag，fract	打碎
prem，prim，prin	首要，第一,(prim)主要的，最初
pre-		先，前，预先
im-，in-，ir-	不，非，向内，进入，加强意义
ob-		相反，加强意义
nucle		核
real		现实
soci		联合
reck		注意
surg		升起
un，uni		一个
un-		不
super-		超过，在上面
intel-，inter-	在……之间，中间，互相
horr		害怕
ozon		味道
integ		整体
habit		居住
intimat		密友
ex-		出
ploy		参与
vers，vert	转
plod，plos	爆裂
mun，muni	公共的
fin		限制，界限，结束
audi		听
hum		地
util		使用
liter		文字
vac，van，vacu	空
-ability		名词后缀：可……
re-		回；再；向后；重新；相反；加强意义
spec，spect，specul	看
spec		特别，种
creas		增长
creat		产生
mens		测量
corpor		团体
char		可爱的
-ile		形容词后缀，……的
herit		继承
gram		写；画
forc，fort		力量
dec，decor	合适
strain，strict	束缚
maj		大
sequ		跟随
trem		发抖
form		形状
feder		联盟
flu，fluct		流
-ular		形容词后缀，有……性质的
col-，com-，con-	共同，一起，加强意义
extra-		超过
termin		终端
tempor		时间
marg		做记号
sel，sult		召集
-ence		名词后缀，表状态性质
sus-		由下向上
pel，puls		推动
equ，equi	相等
pass，path	感情
plain，plaint	捶胸
ann		年
cat-		向下
fest		节日
liber		自由
seg，sect		切割
-ibility		名词后缀，……性
-age		名词后缀，表总称，状态、行为过程
-ary		名词后缀（抽象概念），形容词后缀，……的
ment		名词后缀，行为过程；思考，心智记忆
ana-		分开
imag		想象
duc，duct	引导
mit，miss，mitt	送；放出
contra-，contro-	相反，反对
-ship		名词后缀，表身份关系
vot		发誓
capit		头
deca-		十
cord		一致
preci		价值
spond，spons	许诺承诺
proper，propri	拥有；恰当的
ac-，ad-，ap-，ar-，as-，at-		向；一再；加强意义
gress		行走
ject		投，扔
sacr		神圣的
mount		登上
memor		记忆
-ible		形容词后缀，可……的
acu		尖
log		说话
hospit		客人
sign		标记
em-，en-		进入；使……
mar		海
lut		污垢
bene		好
pract		做事
gen，gener	出生
di-		通过，分开，分离
ab-，abs-		非；加强意义；离去
-ian		名词后缀，表人或从事某种职业的人
dis-		不，非，否定；分开，分离；加强意义
-ine		名词后缀，表抽象概念；表人（多表示女人）
fid		相信
ide		观念
veh		带来
polic，polit	国家
solemn		庄严的，严肃的
physic		自然
-eer		名词后缀，表人
cede，ceed，cess	走
prov		验证；测试；批准
grav		重
fore-		前
friger		冷
just		公正
port		运；部分
-ot		名词后缀，表物
-ty，-ity		名词后缀，表性质状态
-ate		名词后缀，做……，使……；形容词后缀，具有……的；名词后缀，表人、总称
hap		机会
clin		倾斜
elast		弹性
multi-		很多
labor		劳动；工作
-ish		动词后缀，使……
lat		携带
join		结合
dino		恐怖的
gest		携带；运输
range		排列；顺序
err		错误
scrib		写
arti		技巧
vag		漫游
cert		确信
-ure		名词后缀，表行为、行为结果、状态
-ar		名词后缀，表物，人；形容词后缀，……的
-ful		形容词后缀，充满……的，富有……的，可……的
-ic，-tic-istic	形容词后缀，……的
-ic		名词后缀，……学
publ		公众
ump		腾起
nav，naut	船
miser		可怜的
priv		私人；个人
vig，vit，viv	生命
stru，struct	建造
sur		确定的；安全的
clos，clud，clus	关闭
-el		名词后缀，表示小，表人
reg		统治
mor		习惯
opt		选择
neg		否认
doc		教导
-ior		形容词后缀，较……的
cap，cup，capt，cept，ceipt，ceive	拿，抓住，握住
-ous，-eous，-ious，-uous	形容词后缀，……的，多……的，有……性质的
cas		降临
orbit		圆圈
norm		正常
optim		最好的
antiqu		古老的
a-		在……；来，接近；历来；加强意义
infra-		下
sen		年长的
fend，fens	打击
rupt		断裂；破坏
nutr，nutri	营养
riv     河
dit     给予
draw-   拉
limit   界限
rhythm  节奏
min，mini    小，突出
pro-    前，向前，在前；公开
-ance   名词后缀，表状态、行为、性质
dom     家
licen   允许
pecu    金钱
medi    中间
para-   在旁边
par     相等；准备；出现
mechan  机器
part    部分；分开
circ，cycl   圆、环
mand，mend   命令
grac，grat   感激；高兴
fess        说
civ         公民
mort        死
hect-       百
-ery        名词后缀，表抽象概念
de-         加强意义，表否定；去掉；向下
-ism        名词后缀，表状态、行为、……主义
-er，-or，-ier    名词后缀，表人或物（-er）形容词后缀，更
apt         适应
phas        出现
squ         挤压
count       计算
car，cart       车
-et，-le        名词后缀，表示小，-le表示反复
barr        栅栏
cit         引用；呼喊
cred        信任，相信
peri        实验；尝试
camp        田野；场所
front       前
turb        混乱
demo        人民
op-         相对，相反
with-       向后；相反
volu，volv，volut    滚动；卷动；转
-ing        名词后缀，表行为、情况；……学；形容词后缀，……的；构成介词
-y          形容词后缀，有……的，多……的，属于……的，名词后缀，表抽象概念
ultim       最后的
vid，vis     看见；分开
circum-     周围；环绕
sembl，simil     相类似
sym-，syn-       共同；相同
sum         总；最高；拿；买
-icity      名词后缀，表性质
-acity      名词后缀，表状态
-th         名词后缀，表抽象概念
st，sa，stat，stin，sist    站立
it          走
dict        说
fat         命运
loc         地方
veter       老
-cy         n后缀，状态
-al         adj后缀，……的，n后缀，行为
-ion，-ation     n行为，状态，ion表抽象概念
jur         法律
pati        痛苦
flam        火焰
pheno       展现
eco         经济
proof       形容词后缀，防……的
under-      在……下
fund，found  基础
alter，altern       改变状态
-id     形容词后缀……的
-ial        形容词后缀……的
sci     知道
philo       爱
cogn        知道
cris，crit   判断
fer         拿来，携带
-some       adj令……的
-ess        存在、形容词后缀表女性
-en         v使变成，n，表示变小，adj，由……制作成
mir            惊奇；敬佩
per-            穿过通过
serv            保持；服务
mod             风度；模式
-ry             名词后缀，表总称
mis-        错误；坏
sub-        在下面；由下而上
tect        盖上，掩盖；建筑者
solu，solv   溶解，解开松开
quer，quir，quest     寻求；询问
-mony       名词后缀，表行为的结果
electr      电
journ       一天
act         行动，做
camera      房间
sert        放置，加入
cult         耕种，培养
-fy，-ify    动词后缀，使……化；使……
trans-      横过，越过，变换，改变；转移
extr-，exter-    出去
al-         方向；加强意义
post-         邮件；在后面
flex，flect      弯曲，曲折
not，gnor，gnos   知道
-ness       名词后缀，表状态
out-        外；超过；出去
radi，radio      光线；辐射
-ling           名词后缀，表示小
-ical           形容词后缀，……的
pon，pos，posit，pound     放置
tri-        三
vict        征服
atmo        空气
caut        小心的
-ly         副词后缀……地；表示程度、方式
-ist        名词后缀，表示某种主义者或者从事某种职业的人
-able       形容词后缀，能……的
-ive        形容词后缀，由……性质的，名词后缀表抽象概念
amat        爱
techn       技术
cosmo       宇宙
bio         生物生命
ef-         出来
cruc        十字
-ice        n后缀，表性质
over-       在……之上，越过
-less       形容词后缀，无……的
cur，curr       跑，发生cur关系
satis       满
via         道路
vise	看
pet         追求
urb         城市
paci        和平
rat         计算；思考
-ward       adj，向……的，adv向……
-ant，-ent       adj……的，n表人或物
lustr          光
merc        商
domin       统治
man，mani        手
sup-        下；由下向上
lig，lect        选择；收集
ori，orig    开始
sed，sid，sess        坐
-tics       名词后缀，表学科
prehend，prehens     抓住
fac，fic，fact，fect，fict  做
add         加
lev         举起
rot         旋转
vari        变化
anx         苦恼
ten，tin，tain    拿住，握，持
tend，tens，tent，tense    延申，伸展
be-     加强意义，构成介词，在……构成动词
terr       土地
auto-          自己
centr       中心
for-        表示否定
custom      习惯
-ise，-ize   动词后缀，……化；使……
seri        系列
leg         法律；讲
mot，mov     移动，运动
pli，ply，plex，plic       折叠
-ual        adj……的


