scissors       	/'sizəz/            	n.剪子                
quilt          	/kwilt/             	n.被子                
e-mail         	/i: meɪl/           	n.(electronic mail)电子信函，电子邮件
seed           	/si:d/              	n.种子 v.播种;结实,结籽     
lash           	/læʃ/               	v.鞭打,摆动,捆扎 n.鞭子,鞭打,睫毛,讽刺
switch         	/switʃ/             	n.开关；转换；鞭子 v.转变,转换；抽打
hum            	/hʌm/               	v.哼曲子；发嗡嗡声；忙碌n.嗡嗡声，嘈杂声
table          	/'teibl/            	n.桌子;餐桌;工作台;表格 vt.搁置;提交讨论
lad            	/læd/               	n.男孩,小伙子            
furnace        	/'fə:nis/           	n.炉子,熔炉             
court          	/kɔ:t/              	n.法院,法庭;宫廷,朝廷;院子;球场 
lion           	/'laiən/            	n.狮子                
