sick           	/sɪk/               	a.有病的,患病的;恶心的,想吐的   
reassure       	/ˌri:ə'ʃuə/         	v.使安心，使放心；使消除疑虑     
axis           	/'æksis/            	n.轴，轴线，中心线；坐标轴，基准线  
responsibility 	/ri.spɔnsə'biliti/  	n.责任,责任心;职责,任务      
reliance       	/ri'laiəns/         	n.信任,信心,依靠,依靠的人或物   
sore           	/sɔ:/               	a.疼痛的;痛心的 n.痛处,疮口   
vanity         	/'vænəti/           	n.虚荣心,浮华            
cautious       	/'kɔ:ʃəs/           	a.(of)小心的,谨慎的       
painful        	/'peinfl/           	a.疼痛的,使痛苦的,费力[心]的,棘手的
keen           	/ki:n/              	a.锋利的;敏锐的;敏捷的;(on)热心的,渴望的
desirable      	/di'zaiərəbl/       	a.值得做的;合意的,称心的;期望得到的
enthusiasm     	/in'θju:ziæzəm/     	n.热情,热心;狂热;积极性(for) 
decide         	/di'said/           	v.决定,下决心;解决,裁决      
beware         	/bi'wεə/            	v.当心,谨防             
warm           	/wɔ:m/              	a.温暖的，热心的，热情的  v.(使)变暖
zeal           	/zi:l/              	n.热心，热忱，热情          
upset          	/ʌp'set/            	v.使…心烦意乱;打翻,推翻a.难过的;不安的
loyalty        	/'lɔɪəlti/          	n.忠诚,忠心             
